(1,39)
(1,26)
(1,38)
(1,52)
(1,54)
(1,37)
(1,40)
(1,66)
(1,51)
(1,44)
(1,46)
(1,43)
(1,54)
(1,53)
(1,49)
(1,54)
(1,49)
(1,59)
(1,37)
(1,60)
(1,54)
(1,41)
(1,52)
(1,33)
(1,54)
(1,45)
(1,49)
(1,48)
(1,52)
(1,44)
(1,52)
(1,45)
(1,39)
(1,45)
(1,64)
(1,52)
(1,60)
(1,53)
(1,47)
(1,47)
(1,38)
(1,45)
(1,50)
(1,50)
(1,48)
(1,54)
(1,61)
(1,52)
(1,50)
(1,46)
(1,42)
(1,49)
(1,42)
(1,56)
(1,39)
(1,62)
(1,51)
(1,50)
(1,40)
(1,50)
(1,46)
(1,51)
(1,54)
(1,48)
(1,53)
(1,47)
(1,51)
(1,54)
(1,45)
(1,64)
(1,46)
(1,61)
(1,67)
(1,44)
(1,60)
(1,54)
(1,45)
(1,37)
(1,58)
(1,50)
(1,44)
(1,50)
(1,68)
(1,57)
(1,39)
(1,58)
(1,33)
(1,49)
(1,46)
(1,48)
(1,47)
(1,36)
(1,33)
(1,52)
(1,51)
(1,58)
(1,49)
(1,47)
(1,56)
(1,49)
(1,38)
(1,45)
(1,49)
(1,67)
(1,56)
(1,49)
(1,54)
(1,49)
(1,51)
(1,40)
(1,49)
(1,32)
(1,59)
(1,48)
(1,54)
(1,39)
(1,50)
(1,37)
(1,54)
(1,48)
(1,66)
(1,47)
(1,54)
(1,57)
(1,50)
(1,44)
(1,58)
(1,53)
(1,50)
(1,39)
(1,44)
(1,40)
(1,45)
(1,47)
(1,40)
(1,46)
(1,49)
(1,39)
(1,48)
(1,35)
(1,59)
(1,39)
(1,52)
(1,47)
(1,44)
(1,63)
(1,43)
(1,46)
(1,56)
(1,58)
(1,47)
(1,35)
(1,39)
(1,70)
(1,58)
(1,46)
(1,47)
(1,43)
(1,50)
(1,57)
(1,65)
(1,62)
(1,34)
(1,37)
(1,53)
(1,56)
(1,51)
(1,33)
(1,39)
(1,63)
(1,49)
(1,35)
(1,61)
(1,34)
(1,51)
(1,43)
(1,39)
(1,52)
(1,38)
(1,51)
(1,41)
(1,47)
(1,46)
(1,71)
(1,44)
(1,67)
(1,52)
(1,36)
(1,43)
(1,39)
(1,67)
(1,53)
(1,64)
(1,52)
(1,60)
(1,45)
(1,43)
(1,39)
(1,43)
(1,48)
(1,55)
(1,59)
(1,51)
(1,32)
(1,55)
(1,36)
(1,59)
(1,45)
(1,57)
(1,70)
(1,57)
(1,56)
(1,53)
(1,53)
(1,63)
(1,52)
(1,65)
(1,49)
(1,58)
(1,37)
(1,49)
(1,66)
(1,64)
(1,36)
(1,48)
(1,34)
(1,55)
(1,32)
(1,48)
(1,41)
(1,49)
(1,39)
(1,34)
(1,49)
(1,55)
(1,31)
(1,59)
(1,42)
(1,54)
(1,59)
(1,48)
(1,49)
(1,52)
(1,60)
(1,35)
(1,52)
(1,62)
(1,56)
(1,47)
(1,53)
(1,64)
(1,39)
(1,57)
(1,45)
(1,41)
(1,51)
(1,45)
(1,55)
(1,38)
(1,32)
(1,47)
(1,41)
(1,58)
(1,41)
(1,69)
(1,56)
(1,37)
(1,37)
(1,61)
(1,66)
(1,55)
(1,57)
(1,48)
(1,66)
(1,70)
(1,56)
(1,57)
(1,47)
(1,45)
(1,43)
(1,42)
(1,39)
(1,51)
(1,36)
(1,50)
(1,37)
(1,48)
(1,43)
(1,59)
(1,57)
(1,46)
(1,51)
(1,42)
(1,56)
(1,55)
(1,50)
(1,42)
(1,42)
(1,46)
(1,37)
(1,52)
(1,57)
(1,51)
(1,48)
(1,34)
(1,57)
(1,51)
(1,50)
(1,47)
(1,45)
(1,49)
(1,63)
(1,62)
(1,71)
(1,53)
(1,45)
(1,55)
(1,54)
(1,48)
(1,48)
(1,56)
(1,38)
(1,70)
(1,36)
(1,73)
(1,42)
(1,56)
(1,48)
(1,37)
